,Aprašymas,Buto nuoroda,Buto kaina,Plotas,Širdutės,Skelbimo data,Koregavimo data,Perziurejo skelbimą,Kambarių skaičius,Aukštas,Viso aukštų,Statybos metai,Pastato tipas,Šildymas,Įrengimas,Nauja statyba,Rajonas,Kainauzkvadrata
70," Naujamiestis, Vilkpėdės g., 2 kambarių butas",www.aruodas.lt/1-3013361,125000,58.0,57,2021-03-26,2021-03-27,0,2,4,6,2009,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Naujamiestis,2155.1724137931033
71," Žirmūnai, Žirmūnų g., 2 kambarių butas",www.aruodas.lt/1-3011251,77000,45.79,32,2021-04-06,2021-04-06,1,2,1,5,1966,Blokinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Žirmūnai,1681.5898667831405
72," Tarandė, V. Smakausko g., 2 kambarių butas",www.aruodas.lt/1-3019907,104900,75.0,4,2021-04-07,2021-04-07,1,2,1,2,2015,Mūrinis,Dujinis,Įrengtas,Sena statyba,Tarandė,1398.6666666666667
73," Jeruzalė, Braškių g., 2 kambarių butas",www.aruodas.lt/1-3019905,96500,60.0,2,2021-04-07,2021-04-07,1,2,3,5,1996,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Jeruzalė,1608.3333333333333
74," Kalnėnai, Ašmenėlės g., 3 kambarių butas",www.aruodas.lt/1-3012303,80000,50.16,41,2021-03-29,2021-04-06,1,3,1,2,2021,Mūrinis,Elektra,Dalinė apdaila ,Nauja statyba,Kalnėnai,1594.896331738437
75," Pilaitė, M. Mažvydo g., 3 kambarių butas",www.aruodas.lt/1-3018903,139500,72.0,50,2021-04-04,2021-04-06,1,3,2,5,2020,Mūrinis,Centrinis kolektorinis,Įrengtas,Nauja statyba,Pilaitė,1937.5
76," Pilaitė, Tvankstos g., 2 kambarių butas",www.aruodas.lt/1-3019487,115588,52.54,2,2021-04-06,2021-04-06,1,2,1,6,2020,Monolitinis,Centrinis kolektorinis,Įrengtas,Nauja statyba,Pilaitė,2200.0
77," Pilaitė, Karaliaučiaus g., 2 kambarių butas",www.aruodas.lt/1-3019485,113850,50.6,4,2021-04-06,2021-04-08,1,2,2,6,2020,Monolitinis,Centrinis kolektorinis,Įrengtas,Nauja statyba,Pilaitė,2250.0
78," Bajorai, Salaspilio g., 2 kambarių butas",www.aruodas.lt/1-3019501,82933,49.86,4,2021-04-06,2021-04-06,1,2,2,4,2020,Monolitinis,Dujinis,Dalinė apdaila ,Nauja statyba,Bajorai,1663.3172884075411
79," Užupis, Manufaktūrų g., 3 kambarių butas",www.aruodas.lt/1-2914945,127676,57.92,162,2021-03-16,2021-04-07,1,3,2,6,2019,Monolitinis,Centrinis kolektorinis,Įrengtas,Nauja statyba,Užupis,2204.3508287292816
80," Užupis, Manufaktūrų g., 2 kambarių butas",www.aruodas.lt/1-2914927,97534,41.37,105,2021-03-16,2021-04-06,1,2,2,6,2019,Monolitinis,Centrinis kolektorinis,Įrengtas,Nauja statyba,Užupis,2357.6021271452746
81," Pašilaičiai, Justiniškių g., 2 kambarių butas",www.aruodas.lt/1-3019179,114900,72.63,17,2021-04-05,2021-04-05,1,2,4,6,2005,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Pašilaičiai,1581.9909128459315
82," Pašilaičiai, Sviliškių g., 3 kambarių butas",www.aruodas.lt/1-3016967,138500,67.17,9,2021-03-30,2021-04-06,1,3,2,5,2018,Mūrinis,Centrinis,Įrengtas,Nauja statyba,Pašilaičiai,2061.932410302218
83," Fabijoniškės, Salomėjos Nėries g., 3 kambarių butas",www.aruodas.lt/1-3018775,100000,62.4,27,2021-04-03,2021-04-07,1,3,5,5,1990,Blokinis,Centrinis,Įrengtas,Sena statyba,Fabijoniškės,1602.5641025641025
84," Justiniškės, Rygos g., 3 kambarių butas",www.aruodas.lt/1-3002909,87000,50.96,16,2021-04-01,2021-04-07,1,3,1,9,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Justiniškės,1707.2213500784928
85," Antakalnis, Kuosų g., 2 kambarių butas",www.aruodas.lt/1-3005071,136500,54.53,12,2021-03-01,2021-04-06,1,2,6,7,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Antakalnis,2503.209242618742
86," Naujamiestis, Gerosios Vilties g., 2 kambarių butas",www.aruodas.lt/1-2974957,109300,46.0,23,2021-04-07,2021-04-07,1,2,2,6,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Naujamiestis,2376.086956521739
87," Žirmūnai, Žvalgų g., 2 kambarių butas",www.aruodas.lt/1-3002441,98200,49.67,31,2021-02-22,2021-04-07,1,2,3,9,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Žirmūnai,1977.0485202335412
88," Lazdynai, Erfurto g., 3 kambarių butas",www.aruodas.lt/1-3019411,78000,61.0,9,2021-04-06,2021-04-06,1,3,3,5,1969,Blokinis,Centrinis,Įrengtas,Sena statyba,Lazdynai,1278.688524590164
89," Pašilaičiai, Sviliškių g., 2 kambarių butas",www.aruodas.lt/1-3019339,90000,45.0,13,2021-04-06,2021-04-06,1,2,2,5,2008,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Pašilaičiai,2000.0
