,Aprašymas,Buto nuoroda,Buto kaina,Plotas,Širdutės,Skelbimo data,Koregavimo data,Perziurejo skelbimą,Kambarių skaičius,Aukštas,Viso aukštų,Statybos metai,Pastato tipas,Šildymas,Įrengimas,Nauja statyba,Rajonas,Kainauzkvadrata
102," Grigiškės, Kovo 11-osios g., 2 kambarių butas",www.aruodas.lt/1-3016697,61900,49.0,14,2021-03-29,2021-04-07,1,2,1,5,1989,Mūrinis,Centrinis,Įrengtas,Sena statyba,Grigiškės,1263.265306122449
103," Užupis, Polocko g., 2 kambarių butas",www.aruodas.lt/1-3014947,107000,25.0,15,2021-03-24,2021-04-06,1,2,2,6,2020,Mūrinis,Centrinis kolektorinis,Įrengtas,Nauja statyba,Užupis,4280.0
104," Karoliniškės, Algimanto Petro Kavoliuko g., 2 kambarių butas",www.aruodas.lt/1-3017865,62000,49.1,25,2021-04-01,2021-04-07,1,2,9,9,1974,Blokinis,Centrinis,Įrengtas,Sena statyba,Karoliniškės,1262.7291242362526
105," Šnipiškės, Linkmenų g., 2 kambarių butas",www.aruodas.lt/1-3017497,135000,46.44,36,2021-03-31,2021-04-06,1,2,2,5,2016,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Šnipiškės,2906.9767441860467
106," Viršuliškės, Viršuliškių g., 2 kambarių butas",www.aruodas.lt/1-2998591,75000,39.79,59,2021-02-11,2021-04-01,1,2,4,7,2020,Blokinis,Aeroterminis,Įrengtas,Nauja statyba,Viršuliškės,1884.8957024377985
107," Fabijoniškės, L. Giros g., 3 kambarių butas",www.aruodas.lt/1-3019835,89000,61.38,21,2021-04-07,2021-04-07,1,3,7,9,1990,Blokinis,Centrinis,Įrengtas,Sena statyba,Fabijoniškės,1449.9837080482241
108," Senamiestis, Šv. Stepono g., 2 kambarių butas",www.aruodas.lt/1-3017573,139000,42.0,30,2021-03-31,2021-04-06,1,2,1,3,1940,Mūrinis,Dujinis,Įrengtas,Sena statyba,Senamiestis,3309.5238095238096
109," Lazdynai, Erfurto g., 2 kambarių butas",www.aruodas.lt/1-2998551,77500,49.1,28,2021-02-10,2021-04-08,0,2,4,9,1970,Blokinis,Centrinis,Įrengtas,Sena statyba,Lazdynai,1578.4114052953157
110," Pilaitė, Smalinės g., 2 kambarių butas",www.aruodas.lt/1-3020197,82000,56.0,12,2021-04-08,2021-04-08,0,2,4,5,1993,Blokinis,Centrinis,Įrengtas,Sena statyba,Pilaitė,1464.2857142857142
111," Fabijoniškės, Salomėjos Nėries g., 2 kambarių butas",www.aruodas.lt/1-3020179,83000,42.57,8,2021-04-07,2021-04-07,0,2,11,12,2008,Mūrinis,Dujinis,Įrengtas,Sena statyba,Fabijoniškės,1949.729856706601
112," Naujininkai, Dzūkų g., 2 kambarių butas",www.aruodas.lt/1-3019881,77000,50.16,17,2021-04-07,2021-04-07,0,2,8,9,1991,Mūrinis,Centrinis,Kita,Sena statyba,Naujininkai,1535.0877192982457
113," Karoliniškės, Sausio 13-osios g., 3 kambarių butas",www.aruodas.lt/1-3019821,75000,63.6,12,2021-04-07,2021-04-07,0,3,7,9,1973,Blokinis,Centrinis,Kita,Sena statyba,Karoliniškės,1179.245283018868
114," Pilaitė, I. Kanto al., 3 kambarių butas",www.aruodas.lt/1-3019727,92000,70.12,8,2021-04-06,2021-04-07,0,3,1,9,1994,Blokinis,Centrinis,Įrengtas,Sena statyba,Pilaitė,1312.036508841985
115," Šnipiškės, Linkmenų g., 2 kambarių butas",www.aruodas.lt/1-3019577,139000,44.57,10,2021-04-06,2021-04-06,0,2,1,4,2021,Mūrinis,Centrinis kolektorinis,Įrengtas,Nauja statyba,Šnipiškės,3118.689701593
116," Fabijoniškės, Gedvydžių g., 3 kambarių butas",www.aruodas.lt/1-3019541,117000,72.7,31,2021-04-06,2021-04-07,1,3,5,5,1989,Blokinis,"Centrinis, elektra, kita",Įrengtas,Sena statyba,Fabijoniškės,1609.353507565337
117," Šnipiškės, Kintų g., 2 kambarių butas",www.aruodas.lt/1-3019389,90000,33.0,4,2021-04-06,2021-04-06,0,2,3,4,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Šnipiškės,2727.2727272727275
118," Santariškės, Santariškių g., 2 kambarių butas",www.aruodas.lt/1-3019319,115000,44.0,17,2021-04-06,2021-04-06,0,2,3,3,2006,Mūrinis,"Elektra, centrinis kolektorinis",Įrengtas,Sena statyba,Santariškės,2613.6363636363635
119," Naujoji Vilnia, Gerovės g., 2 kambarių butas",www.aruodas.lt/1-3019143,67000,45.47,4,2021-04-05,2021-04-05,0,2,5,5,1966,Mūrinis,Centrinis,Įrengtas,Sena statyba,Naujoji Vilnia,1473.4990103364855
120," Pašilaičiai, Grigalaukio g., 2 kambarių butas",www.aruodas.lt/1-3019125,135900,54.0,7,2021-04-05,2021-04-06,0,2,8,8,2018,Monolitinis,Centrinis,Įrengtas,Nauja statyba,Pašilaičiai,2516.6666666666665
121," Lazdynai, Architektų g., 3 kambarių butas",www.aruodas.lt/1-3019015,78700,63.57,26,2021-04-05,2021-04-05,0,3,6,8,1970,Blokinis,Centrinis,Įrengtas,Sena statyba,Lazdynai,1238.0053484347964
122," Verkiai, Kazio Ulvydo g., 2 kambarių butas",www.aruodas.lt/1-3019105,119500,40.0,22,2021-04-05,2021-04-05,0,2,1,5,2015,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Verkiai,2987.5
123," Naujamiestis, Birželio 23-iosios g., 3 kambarių butas",www.aruodas.lt/1-2964581,117500,57.6,106,2020-11-06,2021-04-04,0,3,3,5,1960,Blokinis,Centrinis,Įrengtas,Sena statyba,Naujamiestis,2039.9305555555554
124," Naujamiestis, Savanorių pr., 2 kambarių butas",www.aruodas.lt/1-3018809,98000,48.0,9,2021-04-03,2021-04-03,0,2,4,5,1972,Blokinis,Centrinis,Įrengtas,Sena statyba,Naujamiestis,2041.6666666666667
125," Šnipiškės, Kalvarijų g., 2 kambarių butas",www.aruodas.lt/1-3018605,84999,46.94,20,2021-04-02,2021-04-07,0,2,4,5,1968,Blokinis,Centrinis,Įrengtas,Sena statyba,Šnipiškės,1810.8010225820196
126," Naujamiestis, Vytenio g., 2 kambarių butas",www.aruodas.lt/1-3018569,92000,46.11,17,2021-04-02,2021-04-02,0,2,4,5,1961,Blokinis,Centrinis,Įrengtas,Sena statyba,Naujamiestis,1995.2288006939928
127," Lazdynėliai, Lazdynėlių g., 2 kambarių butas",www.aruodas.lt/1-3018143,112000,54.4,43,2021-04-01,2021-04-05,0,2,2,5,2020,Mūrinis,Centrinis kolektorinis,Įrengtas,Nauja statyba,Lazdynėliai,2058.823529411765
128," Baltupiai, Didlaukio g., 3 kambarių butas",www.aruodas.lt/1-3018127,120000,63.35,17,2021-04-01,2021-04-02,0,3,2,4,1982,Mūrinis,Centrinis,Įrengtas,Sena statyba,Baltupiai,1894.238358326756
129," Naujamiestis, Vytenio g., 2 kambarių butas",www.aruodas.lt/1-3004543,128000,50.4,20,2021-03-31,2021-04-06,0,2,2,5,1970,Mūrinis,Centrinis,Įrengtas,Sena statyba,Naujamiestis,2539.6825396825398
130," Fabijoniškės, Salomėjos Nėries g., 2 kambarių butas",www.aruodas.lt/1-3017487,96000,58.0,16,2021-03-31,2021-04-07,0,2,3,9,2007,Mūrinis,Dujinis,Įrengtas,Sena statyba,Fabijoniškės,1655.1724137931035
131," Pašilaičiai, Pašilaičių g., 2 kambarių butas",www.aruodas.lt/1-3017485,75000,38.0,12,2021-03-31,2021-03-31,0,2,1,9,1994,Monolitinis,Centrinis,Įrengtas,Sena statyba,Pašilaičiai,1973.6842105263158
132," Viršuliškės, Viršuliškių g., 3 kambarių butas",www.aruodas.lt/1-3017331,87650,63.94,50,2021-03-31,2021-03-31,0,3,6,9,1977,Blokinis,Centrinis,Įrengtas,Sena statyba,Viršuliškės,1370.8163903659681
133," Šnipiškės, Kalvarijų g., 2 kambarių butas",www.aruodas.lt/1-2993651,59100,28.0,4,2021-01-30,2021-04-03,0,2,1,2,1940,Medinis,Aeroterminis,Įrengtas,Sena statyba,Šnipiškės,2110.714285714286
134," Šeškinė, Dūkštų g., 3 kambarių butas",www.aruodas.lt/1-3017147,86500,62.5,29,2021-03-30,2021-04-02,0,3,1,5,1980,Blokinis,Centrinis,Įrengtas,Sena statyba,Šeškinė,1384.0
135," Antakalnis, Bistryčios g., 2 kambarių butas",www.aruodas.lt/1-3017021,56500,30.0,33,2021-03-30,2021-04-07,0,2,1,1,1975,Mūrinis,Elektra,Įrengtas,Sena statyba,Antakalnis,1883.3333333333333
136," Baltupiai, Didlaukio g., 3 kambarių butas",www.aruodas.lt/1-2975023,89000,65.0,30,2020-12-01,2021-03-30,0,3,5,9,1978,Blokinis,Centrinis,Įrengtas,Sena statyba,Baltupiai,1369.2307692307693
137," Lazdynėliai, Jonažolių g., 2 kambarių butas",www.aruodas.lt/1-3016753,117000,62.52,17,2021-03-29,2021-03-30,0,2,6,6,2009,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Lazdynėliai,1871.401151631478
138," Šnipiškės, Kalvarijų g., 3 kambarių butas",www.aruodas.lt/1-3016745,85000,44.18,16,2021-03-29,2021-03-29,1,3,5,5,1964,Blokinis,Centrinis,Įrengtas,Sena statyba,Šnipiškės,1923.9474875509281
139," Lazdynai, Architektų g., 3 kambarių butas",www.aruodas.lt/1-3016733,102112,63.82,20,2021-03-29,2021-03-30,0,3,2,9,1969,Blokinis,Centrinis,Įrengtas,Sena statyba,Lazdynai,1600.0
140," Fabijoniškės, Salomėjos Nėries g., 2 kambarių butas",www.aruodas.lt/1-3016695,85000,45.0,12,2021-03-29,2021-04-04,0,2,10,12,2008,Mūrinis,Dujinis,Įrengtas,Sena statyba,Fabijoniškės,1888.888888888889
141," Šnipiškės, Kazliškių g., 2 kambarių butas",www.aruodas.lt/1-3016637,95000,45.1,23,2021-03-29,2021-03-29,0,2,4,5,1970,Mūrinis,Centrinis,Įrengtas,Sena statyba,Šnipiškės,2106.430155210643
142," Justiniškės, Rygos g., 3 kambarių butas",www.aruodas.lt/1-3016353,83500,67.0,11,2021-03-29,2021-04-05,0,3,6,9,1985,Blokinis,Centrinis,Kita,Sena statyba,Justiniškės,1246.2686567164178
143," Fabijoniškės, S. Stanevičiaus g., 2 kambarių butas",www.aruodas.lt/1-3016297,89500,50.0,32,2021-03-28,2021-04-03,0,2,2,5,1989,Blokinis,Centrinis,Įrengtas,Sena statyba,Fabijoniškės,1790.0
144," Lazdynėliai, Bukčių g., 2 kambarių butas",www.aruodas.lt/1-3016249,90700,43.2,6,2021-03-28,2021-03-28,1,2,4,5,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Lazdynėliai,2099.537037037037
145," Pašilaičiai, Perkūnkiemio g., 2 kambarių butas",www.aruodas.lt/1-3016227,90000,50.75,20,2021-03-28,2021-03-28,0,2,9,9,2007,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Pašilaičiai,1773.3990147783252
146," Fabijoniškės, L. Giros g., 2 kambarių butas",www.aruodas.lt/1-3016197,79000,50.0,21,2021-03-28,2021-03-28,0,2,4,5,1991,Blokinis,Centrinis,Įrengtas,Sena statyba,Fabijoniškės,1580.0
147," Pašilaičiai, Gabijos g., 2 kambarių butas",www.aruodas.lt/1-3016143,75000,51.21,9,2021-03-28,2021-03-28,0,2,4,9,1987,Blokinis,Centrinis,Įrengtas,Sena statyba,Pašilaičiai,1464.5577035735207
148," Fabijoniškės, Salomėjos Nėries g., 2 kambarių butas",www.aruodas.lt/1-3016049,80500,45.0,38,2021-03-27,2021-03-31,0,2,7,12,2008,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Fabijoniškės,1788.888888888889
149," Lazdynai, Architektų g., 2 kambarių butas",www.aruodas.lt/1-3015991,64900,47.0,29,2021-03-27,2021-03-28,0,2,1,5,1971,Blokinis,Centrinis,Įrengtas,Sena statyba,Lazdynai,1380.8510638297873
150," Pilaitė, Pilkalnio g., 3 kambarių butas",www.aruodas.lt/1-3015953,125000,52.5,52,2021-04-06,2021-04-06,0,3,1,4,2018,Mūrinis,Geoterminis,Įrengtas,Nauja statyba,Pilaitė,2380.9523809523807
151," Žirmūnai, Tuskulėnų g., 3 kambarių butas",www.aruodas.lt/1-3015793,96500,63.89,44,2021-04-07,2021-04-07,0,3,9,9,1968,Blokinis,Centrinis,Įrengtas,Sena statyba,Žirmūnai,1510.408514634528
152," Salininkai, Vaikų g., 2 kambarių butas",www.aruodas.lt/1-3015359,24000,30.0,39,2021-03-26,2021-04-02,0,2,2,3,1970,Mūrinis,Dujinis,Dalinė apdaila ,Sena statyba,Salininkai,800.0
153," Naujoji Vilnia, Genių g., 2 kambarių butas",www.aruodas.lt/1-3015235,24000,30.0,25,2021-03-26,2021-04-02,0,2,2,3,1970,Mūrinis,Dujinis,Dalinė apdaila ,Sena statyba,Naujoji Vilnia,800.0
154," Pavilnys, Garsioji g., 2 kambarių butas",www.aruodas.lt/1-3015225,24000,30.0,39,2021-03-26,2021-04-02,0,2,2,3,1970,Mūrinis,Dujinis,Dalinė apdaila ,Sena statyba,Pavilnys,800.0
155," Karoliniškės, Sausio 13-osios g., 2 kambarių butas",www.aruodas.lt/1-3015543,84000,48.3,33,2021-03-31,2021-04-06,0,2,6,12,1974,Blokinis,Centrinis,Įrengtas,Sena statyba,Karoliniškės,1739.1304347826087
156," Lazdynai, Architektų g., 3 kambarių butas",www.aruodas.lt/1-3015531,91200,60.8,6,2021-04-06,2021-04-06,0,3,1,5,1971,Blokinis,Centrinis,Įrengtas,Sena statyba,Lazdynai,1500.0
157," Naujamiestis, Naugarduko g., 2 kambarių butas",www.aruodas.lt/1-3015523,90000,46.33,17,2021-03-25,2021-03-25,0,2,2,5,1961,Blokinis,Centrinis,Įrengtas,Sena statyba,Naujamiestis,1942.5857975393915
158," Pilaitė, Platiniškių g., 3 kambarių butas",www.aruodas.lt/1-3013477,129000,91.0,57,2021-04-06,2021-04-06,1,3,2,2,2019,Mūrinis,Geoterminis,Įrengtas,Nauja statyba,Pilaitė,1417.5824175824175
159," Justiniškės, Taikos g., 3 kambarių butas",www.aruodas.lt/1-3015107,98000,68.0,16,2021-03-25,2021-04-07,0,3,3,9,1984,Blokinis,Centrinis,Įrengtas,Sena statyba,Justiniškės,1441.1764705882354
160," Naujoji Vilnia, Parko g., 3 kambarių butas",www.aruodas.lt/1-3000175,82000,66.0,5,2021-02-15,2021-03-25,0,3,8,9,1977,Mūrinis,Centrinis,Įrengtas,Sena statyba,Naujoji Vilnia,1242.4242424242425
161," Antakalnis, P. Vileišio g., 2 kambarių butas",www.aruodas.lt/1-3015073,87000,44.17,54,2021-03-24,2021-03-25,0,2,2,5,1963,Blokinis,Centrinis,Įrengtas,Sena statyba,Antakalnis,1969.6626669685306
162," Grigiškės, Jaunimo skg., 2 kambarių butas",www.aruodas.lt/1-3014847,45000,34.69,25,2021-03-24,2021-03-25,0,2,1,5,1969,Mūrinis,Centrinis,Įrengtas,Sena statyba,Grigiškės,1297.2038051311617
163," Justiniškės, Taikos g., 3 kambarių butas",www.aruodas.lt/1-3009129,100000,67.0,8,2021-03-24,2021-03-24,0,3,3,5,1985,Blokinis,Centrinis,Įrengtas,Sena statyba,Justiniškės,1492.5373134328358
164," Fabijoniškės, S. Stanevičiaus g., 3 kambarių butas",www.aruodas.lt/1-3014685,117000,74.4,79,2021-04-06,2021-04-07,1,3,8,9,1989,Blokinis,Centrinis,Įrengtas,Sena statyba,Fabijoniškės,1572.5806451612902
165," Žemieji Paneriai, Vaduvos g., 2 kambarių butas",www.aruodas.lt/1-3014651,52000,37.3,30,2021-04-06,2021-04-06,0,2,5,6,1984,Mūrinis,Centrinis,Įrengtas,Sena statyba,Žemieji Paneriai,1394.1018766756033
166," Pašilaičiai, Ukmergės g., 2 kambarių butas",www.aruodas.lt/1-3014605,117000,62.4,5,2021-03-23,2021-03-23,0,2,1,8,2005,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Pašilaičiai,1875.0
167," Antakalnis, Antakalnio g., 3 kambarių butas",www.aruodas.lt/1-3014549,130000,50.37,12,2021-03-23,2021-03-31,0,3,5,5,1965,Mūrinis,Centrinis,Įrengtas,Sena statyba,Antakalnis,2580.9013301568393
168," Karoliniškės, Rolando Jankausko g., 3 kambarių butas",www.aruodas.lt/1-3014537,85000,62.5,10,2021-03-23,2021-03-30,0,3,8,12,1974,Blokinis,Centrinis,Įrengtas,Sena statyba,Karoliniškės,1360.0
169," Lazdynai, Architektų g., 3 kambarių butas",www.aruodas.lt/1-3014379,98000,60.95,22,2021-03-23,2021-03-23,0,3,2,5,1970,Blokinis,Centrinis,Įrengtas,Sena statyba,Lazdynai,1607.8753076292041
170," Senamiestis, A. Smetonos g., 3 kambarių butas",www.aruodas.lt/1-3014183,98000,50.0,6,2021-03-22,2021-03-28,0,3,0,4,1959,Mūrinis,Elektra,Įrengtas,Sena statyba,Senamiestis,1960.0
171," Pašilaičiai, Perkūnkiemio g., 2 kambarių butas",www.aruodas.lt/1-3014171,108800,64.0,5,2021-03-22,2021-03-22,0,2,7,9,2007,Mūrinis,Elektra,Įrengtas,Sena statyba,Pašilaičiai,1700.0
172," Santariškės, J. Franko g., 2 kambarių butas",www.aruodas.lt/1-3013991,120000,51.11,32,2021-03-22,2021-03-29,0,2,1,3,2006,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Santariškės,2347.877127763647
173," Karoliniškės, Dariaus Gerbutavičiaus g., 2 kambarių butas",www.aruodas.lt/1-3013551,69000,46.4,24,2021-03-21,2021-03-23,0,2,5,9,1973,Blokinis,Centrinis,Įrengtas,Sena statyba,Karoliniškės,1487.0689655172414
174," Šnipiškės, Kalvarijų g., 3 kambarių butas",www.aruodas.lt/1-2985375,89000,61.1,7,2021-03-20,2021-03-30,0,3,5,5,1968,Blokinis,Centrinis,Įrengtas,Sena statyba,Šnipiškės,1456.6284779050736
175," Žirmūnai, Žirmūnų g., 2 kambarių butas",www.aruodas.lt/1-3013279,77000,44.22,35,2021-03-20,2021-03-22,0,2,5,5,1965,Blokinis,Centrinis,Įrengtas,Sena statyba,Žirmūnai,1741.2935323383085
176," Pašilaičiai, Medeinos g., 2 kambarių butas",www.aruodas.lt/1-3013083,71000,45.0,71,2021-03-31,2021-03-31,1,2,5,9,1984,Blokinis,Centrinis,Įrengtas,Sena statyba,Pašilaičiai,1577.7777777777778
177," Naujoji Vilnia, Genių g., 3 kambarių butas",www.aruodas.lt/1-3013081,85000,63.05,11,2021-03-19,2021-03-19,0,3,2,5,1978,Mūrinis,Centrinis,Įrengtas,Sena statyba,Naujoji Vilnia,1348.1363996827915
178," Žirmūnai, Tuskulėnų g., 2 kambarių butas",www.aruodas.lt/1-3012845,88000,50.0,53,2021-03-19,2021-03-19,0,2,1,9,1976,Blokinis,Centrinis,Įrengtas,Sena statyba,Žirmūnai,1760.0
179," Antakalnis, Smėlio g., 2 kambarių butas",www.aruodas.lt/1-3012811,117500,37.89,13,2021-03-18,2021-03-24,0,2,6,6,2009,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Antakalnis,3101.0820797044075
180," Pilaitė, Simono Grunau g., 3 kambarių butas",www.aruodas.lt/1-3012791,68000,52.0,67,2021-03-18,2021-04-06,0,3,3,4,2021,Mūrinis,Dujinis,Dalinė apdaila ,Nauja statyba,Pilaitė,1307.6923076923076
181," Naujamiestis, Algirdo g., 3 kambarių butas",www.aruodas.lt/1-3012633,54900,85.0,22,2021-03-18,2021-03-19,1,3,1,5,1955,Mūrinis,Centrinis,Įrengtas,Sena statyba,Naujamiestis,645.8823529411765
182," Karoliniškės, Sausio 13-osios g., 3 kambarių butas",www.aruodas.lt/1-3012307,95000,63.6,18,2021-03-18,2021-03-18,0,3,6,9,1974,Blokinis,Centrinis,Įrengtas,Sena statyba,Karoliniškės,1493.7106918238994
183," Pašilaičiai, Laisvės pr., 2 kambarių butas",www.aruodas.lt/1-2989055,75000,49.92,16,2021-01-16,2021-03-23,0,2,7,9,1990,Mūrinis,Centrinis,Neįrengtas     ,Sena statyba,Pašilaičiai,1502.4038461538462
184," Pašilaičiai, Žemynos g., 3 kambarių butas",www.aruodas.lt/1-3012077,90000,66.94,10,2021-03-17,2021-03-23,0,3,1,5,1986,Blokinis,Centrinis,Įrengtas,Sena statyba,Pašilaičiai,1344.4876008365702
185," Pašilaičiai, Žemynos g., 2 kambarių butas",www.aruodas.lt/1-3011803,74000,49.89,25,2021-03-16,2021-03-25,0,2,1,5,1986,Blokinis,Centrinis,Įrengtas,Sena statyba,Pašilaičiai,1483.2631789937864
186," Naujamiestis, Vytenio g., 2 kambarių butas",www.aruodas.lt/1-3011771,97000,47.0,39,2021-03-19,2021-03-19,1,2,2,5,1976,Mūrinis,Centrinis,Įrengtas,Sena statyba,Naujamiestis,2063.8297872340427
187," Justiniškės, Taikos g., 2 kambarių butas",www.aruodas.lt/1-2990713,75000,51.0,29,2021-01-21,2021-03-16,0,2,3,5,1986,Blokinis,Centrinis,Įrengtas,Sena statyba,Justiniškės,1470.5882352941176
188," Šeškinė, Šeškinės g., 2 kambarių butas",www.aruodas.lt/1-3011701,124000,64.87,14,2021-03-16,2021-04-08,1,2,3,16,2005,Monolitinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Šeškinė,1911.5153383690456
189," Baltupiai, Kalvarijų g., 2 kambarių butas",www.aruodas.lt/1-3011687,84000,46.5,61,2021-03-16,2021-03-19,0,2,5,5,1994,Mūrinis,Centrinis,Įrengtas,Sena statyba,Baltupiai,1806.4516129032259
190," Grigiškės, Kunigiškių g., 3 kambarių butas",www.aruodas.lt/1-3010551,114000,66.0,19,2021-03-16,2021-03-16,0,3,4,4,2012,Monolitinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Grigiškės,1727.2727272727273
191," Senamiestis, Šv. Stepono g., 2 kambarių butas",www.aruodas.lt/1-3011461,107000,42.0,37,2021-03-16,2021-03-23,1,2,1,2,1938,Mūrinis,Dujinis,Įrengtas,Sena statyba,Senamiestis,2547.6190476190477
192," Žemieji Paneriai, Vaduvos g., 2 kambarių butas",www.aruodas.lt/1-3011357,68000,41.0,54,2021-03-15,2021-03-25,0,2,1,5,1991,Blokinis,Centrinis,Įrengtas,Sena statyba,Žemieji Paneriai,1658.5365853658536
193," Senamiestis, Subačiaus g., 2 kambarių butas",www.aruodas.lt/1-2947759,101050,48.38,150,2020-09-24,2021-04-03,0,2,2,3,2019,Blokinis,"Elektra, centrinis kolektorinis",Dalinė apdaila ,Nauja statyba,Senamiestis,2088.673005374121
194," Pašilaičiai, Girulių g., 2 kambarių butas",www.aruodas.lt/1-3011295,89100,66.07,9,2021-03-15,2021-03-15,1,2,5,9,2008,Mūrinis,"Elektra, centrinis kolektorinis",Dalinė apdaila ,Sena statyba,Pašilaičiai,1348.5696988042987
195," Justiniškės, Taikos g., 3 kambarių butas",www.aruodas.lt/1-3010777,89200,61.5,28,2021-03-14,2021-04-07,0,3,4,5,1985,Blokinis,Centrinis,Įrengtas,Sena statyba,Justiniškės,1450.4065040650407
196," Naujamiestis, Geležinio Vilko g., 3 kambarių butas",www.aruodas.lt/1-3010585,97000,57.0,35,2021-03-14,2021-03-14,0,3,2,5,1965,Blokinis,Centrinis,Įrengtas,Sena statyba,Naujamiestis,1701.7543859649122
197," Pilaitė, Pajautos g., 2 kambarių butas",www.aruodas.lt/1-3010543,79000,55.45,39,2021-03-13,2021-03-14,0,2,3,5,1998,Blokinis,Centrinis,Įrengtas,Sena statyba,Pilaitė,1424.706943192065
198," Pašilaičiai, Pavilnionių g., 2 kambarių butas",www.aruodas.lt/1-3010393,109900,63.5,10,2021-03-13,2021-03-24,0,2,3,8,2008,Blokinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Pašilaičiai,1730.708661417323
199," Karoliniškės, Vido Maciulevičiaus g., 3 kambarių butas",www.aruodas.lt/1-3010371,80000,63.0,18,2021-03-13,2021-03-13,0,3,9,9,1972,Monolitinis,Centrinis,Įrengtas,Sena statyba,Karoliniškės,1269.8412698412699
200," Viršuliškės, Viršuliškių g., 2 kambarių butas",www.aruodas.lt/1-3010323,88000,48.44,55,2021-03-12,2021-03-30,0,2,3,12,1977,Blokinis,Centrinis,Įrengtas,Sena statyba,Viršuliškės,1816.6804293971925
201," Antakalnis, Švyturio g., 2 kambarių butas",www.aruodas.lt/1-3009815,85700,48.17,45,2021-03-11,2021-03-16,0,2,5,5,1964,Blokinis,Centrinis,Įrengtas,Sena statyba,Antakalnis,1779.1156321361843
202," Pašilaičiai, Laisvės pr., 3 kambarių butas",www.aruodas.lt/1-3009713,135000,110.0,27,2021-03-11,2021-03-31,0,3,6,6,1998,Mūrinis,"Elektra, kietu kuru",Įrengtas,Sena statyba,Pašilaičiai,1227.2727272727273
203," Pilaitė, M. Jankaus g., 2 kambarių butas",www.aruodas.lt/1-3009703,103000,62.54,29,2021-03-11,2021-03-14,0,2,5,7,2006,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Pilaitė,1646.945954589063
204," Grigiškės, Šviesos g., 3 kambarių butas",www.aruodas.lt/1-3009139,98900,61.69,26,2021-04-07,2021-04-07,0,3,5,5,1986,Blokinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Grigiškės,1603.1771762035987
205," Bajorai, Fizikų g., 2 kambarių butas",www.aruodas.lt/1-3009097,115000,54.0,10,2021-02-27,2021-03-28,0,2,2,4,2008,Mūrinis,Centrinis,Įrengtas,Sena statyba,Bajorai,2129.6296296296296
206," Justiniškės, Taikos g., 3 kambarių butas",www.aruodas.lt/1-3009001,94999,67.0,22,2021-03-09,2021-03-10,0,3,3,9,1984,Blokinis,Centrinis,Įrengtas,Sena statyba,Justiniškės,1417.8955223880596
207," Fabijoniškės, Gedvydžių g., 3 kambarių butas",www.aruodas.lt/1-2970421,81500,64.78,10,2020-11-20,2021-04-08,0,3,1,10,1990,Blokinis,Centrinis,Įrengtas,Sena statyba,Fabijoniškės,1258.1043531954306
208," Baltupiai, Jurgio Lebedžio g., 2 kambarių butas",www.aruodas.lt/1-3008711,122500,43.51,18,2021-03-08,2021-03-10,0,2,5,5,2017,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Baltupiai,2815.444725350494
209," Markučiai, Kaukysos g., 2 kambarių butas",www.aruodas.lt/1-3020025,125000,50.0,10,2021-04-07,2021-04-07,0,2,6,6,2013,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Markučiai,2500.0
210," Trakų Vokė, J. Tiškevičiaus g., 2 kambarių butas",www.aruodas.lt/1-3008527,76000,42.42,6,2021-03-08,2021-04-02,0,2,2,2,1957,Mūrinis,Centrinis,Įrengtas,Sena statyba,Trakų Vokė,1791.6077322017916
211," Vilkpėdė, Titnago g., 2 kambarių butas",www.aruodas.lt/1-2960243,79500,41.0,40,2021-03-08,2021-03-08,0,2,5,5,2020,Mūrinis,Elektra,Įrengtas,Nauja statyba,Vilkpėdė,1939.0243902439024
212," Šnipiškės, Giedraičių g., 2 kambarių butas",www.aruodas.lt/1-3008347,105000,39.5,22,2021-03-08,2021-03-26,0,2,5,5,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Šnipiškės,2658.227848101266
213," Pilaitė, Vydūno g., 2 kambarių butas",www.aruodas.lt/1-3015653,73000,50.0,12,2021-03-26,2021-03-26,0,2,1,5,1998,Blokinis,Centrinis,Įrengtas,Sena statyba,Pilaitė,1460.0
